,County,Income per Capita,Population,Doses,Doses per Capita
693,"Pope, IL",29510,4177,,
694,"Pulaski, IL",37936,5335,,
695,"Putnam, IL",61363,5739,,
696,"Randolph, IL",37988,31782,,
697,"Richland, IL",42275,15513,,
698,"Rock Island, IL",45711,141879,,
699,"St. Clair, IL",46116,259686,,
700,"Saline, IL",40891,23491,,
701,"Sangamon, IL",49445,194672,,
702,"Schuyler, IL",44586,6768,,
703,"Scott, IL",41942,4951,,
704,"Shelby, IL",40517,21634,,
705,"Stark, IL",42563,5342,,
706,"Stephenson, IL",42980,44498,,
707,"Tazewell, IL",48515,131803,,
708,"Union, IL",43491,16653,,
709,"Vermilion, IL",40109,75758,,
710,"Wabash, IL",43098,11520,,
711,"Warren, IL",41270,16844,,
712,"Washington, IL",48740,13887,,
713,"Wayne, IL",39592,16215,,
714,"White, IL",50560,13537,,
715,"Whiteside, IL",44916,55175,,
716,"Will, IL",53895,690743,,
717,"Williamson, IL",45878,66597,,
718,"Winnebago, IL",44234,282572,,
719,"Woodford, IL",53163,38459,,
720,"Adams, IN",40584,35777,,
721,"Allen, IN",47602,379299,,
722,"Bartholomew, IN",52546,83779,,
723,"Benton, IN",42135,8748,,
724,"Blackford, IN",38813,11758,,
725,"Boone, IN",76241,67843,,
726,"Brown, IN",48862,15092,,
727,"Carroll, IN",43432,20257,,
728,"Cass, IN",40693,37689,,
729,"Clark, IN",45270,118302,,
730,"Clay, IN",39004,26225,,
731,"Clinton, IN",39905,32399,,
732,"Crawford, IN",35054,10577,,
733,"Daviess, IN",43998,33351,,
734,"Dearborn, IN",49949,49458,,
735,"Decatur, IN",44168,26559,,
